順位,騎手名,,騎乗回数,1着,2着,3着,4着以下,勝率,連対率,収得賞金（円）,騎手パワー,
30,桑村真明,川崎,70,5,10,9,46,7.10%,21.40%,"27,480,000",,
31,神尾香澄,川崎,187,9,12,11,155,4.80%,11.20%,"26,720,000",,
32,今野忠成,川崎,98,1,11,12,74,1.00%,12.20%,"23,470,000",,
33,岡村裕基,川崎,189,11,8,7,163,5.80%,10.10%,"21,922,500",,
34,坂井瑠星,川崎,3,0,0,1,2,0.00%,0.00%,"21,750,000",,
35,木間塚龍馬,川崎,98,6,4,2,86,6.10%,10.20%,"20,970,000",,
36,福原杏,川崎,87,2,10,9,66,2.30%,13.80%,"18,120,000",,
37,鷹見陸,川崎,89,6,10,6,67,6.70%,18.00%,"17,160,000",,
38,中山遥人,川崎,94,6,7,9,72,6.40%,13.80%,"16,635,000",,
39,藤本現暉,川崎,83,0,7,11,65,0.00%,8.40%,"16,045,000",,
40,田中涼,川崎,108,4,6,2,96,3.70%,9.30%,"15,535,000",,
41,Ｍ．ミシェル,川崎,69,4,4,4,57,5.80%,11.60%,"15,165,000",,
42,田口貫太,川崎,2,0,1,0,1,0.00%,50.00%,"14,700,000",,
43,達城龍次,川崎,41,2,4,6,29,4.90%,14.60%,"14,470,000",,
44,武豊,川崎,2,0,1,0,1,0.00%,50.00%,"14,000,000",,
45,岩田康誠,川崎,2,1,0,0,1,50.00%,50.00%,"12,500,000",,
46,吉村智洋,川崎,3,0,1,0,2,0.00%,33.30%,"12,250,000",,
47,山中悠希,川崎,54,5,2,1,46,9.30%,13.00%,"11,975,000",,
48,澤田龍哉,川崎,19,3,1,2,13,15.80%,21.10%,"11,820,000",,
49,笠野雄大,川崎,28,4,3,2,19,14.30%,25.00%,"11,430,000",,
50,保園翔也,川崎,43,4,1,2,36,9.30%,11.60%,"11,050,000",,
51,吉井章,川崎,4,0,1,0,3,0.00%,25.00%,"10,620,000",,
52,川島正太郎,川崎,20,2,5,2,11,10.00%,35.00%,"9,880,000",,
53,Ｒ．クアトロ,川崎,11,5,0,0,6,45.50%,45.50%,"9,780,000",,
54,丹内祐次,川崎,10,2,2,1,5,20.00%,40.00%,"9,565,000",,
55,七夕裕次郎,川崎,53,3,0,4,46,5.70%,5.70%,"9,500,000",,
55,横山武史,川崎,3,0,0,1,2,0.00%,0.00%,"9,500,000",,
57,和田譲治,川崎,16,2,4,3,7,12.50%,37.50%,"9,350,000",,
58,菅原涼太,川崎,63,2,2,6,53,3.20%,6.30%,"8,855,000",,
59,鷲頭虎太,川崎,1,1,0,0,0,100.00%,100.00%,"8,000,000",,
60,佐藤翔馬,川崎,34,1,4,7,22,2.90%,14.70%,"7,965,000",,
61,石川倭,川崎,13,2,1,1,9,15.40%,23.10%,"6,830,000",,
62,半澤慶実,川崎,25,1,2,2,20,4.00%,12.00%,"6,605,000",,
63,篠谷葵,川崎,16,1,1,4,10,6.30%,12.50%,"5,630,000",,
64,山本大翔,川崎,25,0,3,2,20,0.00%,12.00%,"5,600,000",,
65,服部茂史,川崎,57,1,1,4,51,1.80%,3.50%,"5,030,000",,
66,小牧太,川崎,4,1,0,0,3,25.00%,25.00%,"5,000,000",,
67,木幡初也,川崎,3,1,0,0,2,33.30%,33.30%,"4,800,000",,
68,仲野光馬,川崎,36,1,1,4,30,2.80%,5.60%,"4,535,000",,
69,戸崎圭太,川崎,3,1,1,0,1,33.30%,66.70%,"4,500,000",,
70,吉留孝司,川崎,23,1,2,0,20,4.30%,13.00%,"4,320,000",,
71,藤岡佑介,川崎,2,0,0,0,2,0.00%,0.00%,"4,000,000",,
72,本田紀忠,川崎,72,1,0,4,67,1.40%,1.40%,"3,910,000",,
73,丸田恭介,川崎,5,1,0,1,3,20.00%,20.00%,"3,900,000",,
74,佐々木大輔,川崎,3,0,0,0,3,0.00%,0.00%,"3,875,000",,
75,藤田凌,川崎,15,0,2,1,12,0.00%,13.30%,"3,435,000",,
76,西村栄喜,川崎,15,2,2,1,10,13.30%,26.70%,"3,100,000",,
77,見越彬央,川崎,22,1,0,2,19,4.50%,4.50%,"2,260,000",,
78,長浜鴻緒,川崎,4,1,0,1,2,25.00%,25.00%,"2,225,000",,
79,庄司大輔,川崎,4,1,0,1,2,25.00%,25.00%,"2,200,000",,
80,藤原幹生,川崎,3,1,0,0,2,33.30%,33.30%,"2,100,000",,
81,杉山海波,川崎,5,1,0,0,4,20.00%,20.00%,"2,000,000",,
81,谷原柚希,川崎,2,1,0,0,1,50.00%,50.00%,"2,000,000",,
83,岡田大,川崎,15,2,0,0,13,13.30%,13.30%,"1,920,000",,
84,小杉亮,川崎,13,0,0,1,12,0.00%,0.00%,"1,760,000",,
85,秋元耕成,川崎,50,0,1,1,48,0.00%,2.00%,"1,720,000",,
86,舟山瑠泉,川崎,4,0,1,0,3,0.00%,25.00%,"1,710,000",,
87,田山旺佑,川崎,2,0,1,1,0,0.00%,50.00%,"1,625,000",,
87,野澤憲彦,川崎,6,1,0,1,4,16.70%,16.70%,"1,625,000",,
89,室陽一朗,川崎,39,0,0,2,37,0.00%,0.00%,"1,610,000",,
90,中島龍也,川崎,4,0,0,0,4,0.00%,0.00%,"1,450,000",,
91,臼井健太郎,川崎,15,0,1,2,12,0.00%,6.70%,"1,380,000",,
92,高橋哲也,川崎,13,0,1,1,11,0.00%,7.70%,"1,340,000",,
93,小林美駒,川崎,2,0,1,0,1,0.00%,50.00%,"1,250,000",,
94,及川烈,川崎,14,0,1,0,13,0.00%,7.10%,"1,190,000",,
95,山口達弥,川崎,19,0,2,1,16,0.00%,10.50%,"1,180,000",,
96,加藤和博,川崎,11,0,1,1,9,0.00%,9.10%,"1,095,000",,
97,菅原明良,川崎,1,0,1,0,0,0.00%,100.00%,"1,000,000",,
98,赤津和希,川崎,26,0,0,1,25,0.00%,0.00%,"990,000",,
99,中島良美,川崎,26,1,0,0,25,3.80%,3.80%,"900,000",,
100,石神深道,川崎,3,0,0,1,2,0.00%,0.00%,"865,000",,
